X,ID,RP,SP,RP_journey,SP_task,av_car,av_rail,time_car,cost_car,time_rail,cost_rail,access_rail,service_rail,female,business,income,choice
169,11,0,1,NA,7,1,1,275,50,120,75,15,3,1,0,26718,4
171,11,0,1,NA,9,1,1,345,35,140,45,25,3,1,0,26718,4
172,11,0,1,NA,10,1,1,345,45,120,35,5,1,1,0,26718,4
173,11,0,1,NA,11,1,1,250,50,130,75,15,3,1,0,26718,1
174,11,0,1,NA,12,1,1,390,30,170,35,25,3,1,0,26718,1
175,11,0,1,NA,13,1,1,275,45,140,65,15,2,1,0,26718,4
176,11,0,1,NA,14,1,1,300,45,140,55,10,3,1,0,26718,4
178,12,1,0,2,NA,1,1,300,35,140,45,20,0,0,0,47709,1
179,12,0,1,NA,1,1,1,300,40,170,35,25,2,0,0,47709,4
181,12,0,1,NA,3,1,1,390,35,140,45,20,1,0,0,47709,1
183,12,0,1,NA,5,1,1,275,40,140,55,20,1,0,0,47709,1
184,12,0,1,NA,6,1,1,275,45,130,35,15,3,0,0,47709,4
185,12,0,1,NA,7,1,1,250,50,140,55,25,1,0,0,47709,1
186,12,0,1,NA,8,1,1,250,35,155,55,20,2,0,0,47709,4
189,12,0,1,NA,11,1,1,275,50,155,35,20,1,0,0,47709,4
191,12,0,1,NA,13,1,1,345,45,130,45,10,1,0,0,47709,4
194,13,1,0,2,NA,1,1,275,50,120,75,15,0,0,1,55038,1
199,13,0,1,NA,5,1,1,250,45,120,75,10,2,0,1,55038,4
200,13,0,1,NA,6,1,1,390,30,140,55,15,1,0,1,55038,4
201,13,0,1,NA,7,1,1,345,40,130,35,20,1,0,1,55038,4
202,13,0,1,NA,8,1,1,345,45,120,45,5,1,0,1,55038,4
206,13,0,1,NA,12,1,1,300,45,155,65,20,3,0,1,55038,4
207,13,0,1,NA,13,1,1,345,30,155,55,10,2,0,1,55038,4
226,15,1,0,2,NA,1,1,250,50,120,75,10,0,0,1,34560,4
227,15,0,1,NA,1,1,1,250,45,170,35,25,2,0,1,34560,4
228,15,0,1,NA,2,1,1,275,50,140,35,15,3,0,1,34560,4
229,15,0,1,NA,3,1,1,390,40,130,75,15,1,0,1,34560,1
230,15,0,1,NA,4,1,1,390,40,120,75,20,3,0,1,34560,4
231,15,0,1,NA,5,1,1,300,40,170,35,5,3,0,1,34560,4
232,15,0,1,NA,6,1,1,345,30,155,55,20,3,0,1,34560,1
233,15,0,1,NA,7,1,1,275,40,170,35,25,3,0,1,34560,4
234,15,0,1,NA,8,1,1,300,50,130,75,5,2,0,1,34560,4
235,15,0,1,NA,9,1,1,250,30,170,55,20,3,0,1,34560,1
236,15,0,1,NA,10,1,1,345,35,170,45,5,2,0,1,34560,4
237,15,0,1,NA,11,1,1,275,50,155,55,20,1,0,1,34560,4
238,15,0,1,NA,12,1,1,300,45,140,45,10,3,0,1,34560,4
239,15,0,1,NA,13,1,1,345,30,140,65,20,3,0,1,34560,4
240,15,0,1,NA,14,1,1,300,35,170,35,25,2,0,1,34560,4
241,16,1,0,1,NA,1,1,275,35,140,65,20,0,1,1,70011,4
242,16,1,0,2,NA,1,1,345,35,120,75,10,0,1,1,70011,4
243,16,0,1,NA,1,1,1,250,30,140,65,15,1,1,1,70011,4
244,16,0,1,NA,2,1,1,300,35,155,35,15,2,1,1,70011,4
245,16,0,1,NA,3,1,1,300,35,155,45,15,3,1,1,70011,4
246,16,0,1,NA,4,1,1,250,50,140,75,10,3,1,1,70011,4
247,16,0,1,NA,5,1,1,390,30,130,65,25,1,1,1,70011,4
248,16,0,1,NA,6,1,1,390,35,130,35,10,1,1,1,70011,4
249,16,0,1,NA,7,1,1,300,45,120,65,5,1,1,1,70011,4
250,16,0,1,NA,8,1,1,300,40,155,35,5,2,1,1,70011,4
251,16,0,1,NA,9,1,1,390,30,120,55,15,1,1,1,70011,4
252,16,0,1,NA,10,1,1,275,40,170,55,25,2,1,1,70011,4
253,16,0,1,NA,11,1,1,345,35,170,45,5,2,1,1,70011,4
254,16,0,1,NA,12,1,1,275,50,155,55,15,2,1,1,70011,1
255,16,0,1,NA,13,1,1,250,50,120,65,10,1,1,1,70011,4
256,16,0,1,NA,14,1,1,345,40,155,45,5,2,1,1,70011,4
273,18,1,0,1,NA,1,1,300,45,120,35,10,0,1,0,64183,1
274,18,1,0,2,NA,1,1,250,40,170,35,25,0,1,0,64183,1
276,18,0,1,NA,2,1,1,275,50,120,65,10,2,1,0,64183,4
277,18,0,1,NA,3,1,1,300,30,140,75,25,2,1,0,64183,4
278,18,0,1,NA,4,1,1,390,30,130,65,25,3,1,0,64183,4
280,18,0,1,NA,6,1,1,275,30,170,35,25,2,1,0,64183,4
281,18,0,1,NA,7,1,1,300,40,155,65,20,1,1,0,64183,1
282,18,0,1,NA,8,1,1,345,35,170,35,15,1,1,0,64183,4
283,18,0,1,NA,9,1,1,250,40,170,45,10,2,1,0,64183,4
284,18,0,1,NA,10,1,1,250,40,155,75,25,2,1,0,64183,1
285,18,0,1,NA,11,1,1,345,35,155,35,10,1,1,0,64183,4
286,18,0,1,NA,12,1,1,390,35,170,35,25,3,1,0,64183,1
288,18,0,1,NA,14,1,1,300,40,170,65,25,2,1,0,64183,4
289,19,1,0,1,NA,1,1,390,30,130,75,15,0,0,0,67591,1
291,19,0,1,NA,1,1,1,345,45,120,45,5,1,0,0,67591,1
292,19,0,1,NA,2,1,1,250,45,120,75,5,2,0,0,67591,1
293,19,0,1,NA,3,1,1,300,45,130,75,15,3,0,0,67591,1
294,19,0,1,NA,4,1,1,390,30,130,65,20,1,0,0,67591,1
295,19,0,1,NA,5,1,1,250,45,155,45,20,1,0,0,67591,1
297,19,0,1,NA,7,1,1,250,45,155,65,15,3,0,0,67591,4
298,19,0,1,NA,8,1,1,275,50,155,35,10,3,0,0,67591,4
299,19,0,1,NA,9,1,1,345,50,155,45,5,3,0,0,67591,4
300,19,0,1,NA,10,1,1,390,35,120,75,15,2,0,0,67591,1
301,19,0,1,NA,11,1,1,300,30,155,45,25,1,0,0,67591,1
302,19,0,1,NA,12,1,1,300,35,155,45,20,1,0,0,67591,1
303,19,0,1,NA,13,1,1,250,50,120,55,25,2,0,0,67591,4
304,19,0,1,NA,14,1,1,390,35,120,55,10,1,0,0,67591,4
321,21,1,0,1,NA,1,1,275,50,120,75,15,0,1,1,23717,4
322,21,1,0,2,NA,1,1,250,45,170,45,20,0,1,1,23717,1
323,21,0,1,NA,1,1,1,390,40,170,35,5,2,1,1,23717,4
324,21,0,1,NA,2,1,1,390,30,140,55,5,1,1,1,23717,4
325,21,0,1,NA,3,1,1,250,50,120,75,5,3,1,1,23717,1
326,21,0,1,NA,4,1,1,300,30,155,75,25,2,1,1,23717,1
327,21,0,1,NA,5,1,1,250,40,170,35,25,2,1,1,23717,4
328,21,0,1,NA,6,1,1,275,30,130,75,25,2,1,1,23717,1
329,21,0,1,NA,7,1,1,275,45,170,35,10,2,1,1,23717,4
330,21,0,1,NA,8,1,1,390,35,140,55,10,1,1,1,23717,4
331,21,0,1,NA,9,1,1,345,35,140,45,25,3,1,1,23717,1
332,21,0,1,NA,10,1,1,345,45,120,35,5,1,1,1,23717,4
333,21,0,1,NA,11,1,1,250,50,130,75,15,3,1,1,23717,1
334,21,0,1,NA,12,1,1,390,30,170,35,25,3,1,1,23717,4
335,21,0,1,NA,13,1,1,275,45,140,65,15,2,1,1,23717,1
336,21,0,1,NA,14,1,1,300,45,140,55,10,3,1,1,23717,4
353,23,1,0,1,NA,1,1,345,35,130,75,15,0,1,0,23005,1
357,23,0,1,NA,3,1,1,275,45,130,55,20,3,1,0,23005,1
361,23,0,1,NA,7,1,1,345,40,130,35,20,1,1,0,23005,4
362,23,0,1,NA,8,1,1,345,45,120,45,5,1,1,0,23005,4
363,23,0,1,NA,9,1,1,345,30,170,35,15,1,1,0,23005,4
366,23,0,1,NA,12,1,1,300,45,155,65,20,3,1,0,23005,4
369,24,1,0,1,NA,1,1,300,40,170,45,15,0,1,0,61433,4
372,24,0,1,NA,2,1,1,345,40,130,45,10,1,1,0,61433,4
373,24,0,1,NA,3,1,1,390,30,130,55,5,1,1,0,61433,1
374,24,0,1,NA,4,1,1,345,40,140,45,10,2,1,0,61433,4
375,24,0,1,NA,5,1,1,300,50,130,75,10,3,1,0,61433,4
376,24,0,1,NA,6,1,1,390,30,140,65,25,1,1,0,61433,1
377,24,0,1,NA,7,1,1,345,40,120,45,10,1,1,0,61433,4
378,24,0,1,NA,8,1,1,345,45,120,45,10,3,1,0,61433,4
380,24,0,1,NA,10,1,1,250,35,170,45,25,2,1,0,61433,4
381,24,0,1,NA,11,1,1,390,30,120,65,25,3,1,0,61433,4
382,24,0,1,NA,12,1,1,250,50,140,65,20,1,1,0,61433,1
383,24,0,1,NA,13,1,1,390,30,140,75,10,3,1,0,61433,4
384,24,0,1,NA,14,1,1,345,40,140,35,5,3,1,0,61433,4
385,25,1,0,1,NA,1,1,345,30,155,55,20,0,0,0,20982,1
387,25,0,1,NA,1,1,1,250,45,170,35,25,2,0,0,20982,4
388,25,0,1,NA,2,1,1,275,50,140,35,15,3,0,0,20982,4
389,25,0,1,NA,3,1,1,390,40,130,75,15,1,0,0,20982,1
391,25,0,1,NA,5,1,1,300,40,170,35,5,3,0,0,20982,1
392,25,0,1,NA,6,1,1,275,40,170,35,25,3,0,0,20982,4
395,25,0,1,NA,9,1,1,250,30,170,55,20,3,0,0,20982,1
397,25,0,1,NA,11,1,1,275,50,155,55,20,1,0,0,20982,1
398,25,0,1,NA,12,1,1,300,45,140,45,10,3,0,0,20982,4
399,25,0,1,NA,13,1,1,250,50,120,75,10,2,0,0,20982,1
400,25,0,1,NA,14,1,1,300,35,170,35,25,2,0,0,20982,4
403,26,0,1,NA,1,1,1,250,30,140,65,15,1,0,1,57857,1
404,26,0,1,NA,2,1,1,300,35,155,35,15,2,0,1,57857,4
405,26,0,1,NA,3,1,1,250,50,140,75,10,3,0,1,57857,1
408,26,0,1,NA,6,1,1,390,35,130,35,10,1,0,1,57857,4
410,26,0,1,NA,8,1,1,300,40,155,35,5,2,0,1,57857,4
411,26,0,1,NA,9,1,1,390,30,120,55,15,1,0,1,57857,4
412,26,0,1,NA,10,1,1,275,40,170,55,25,2,0,1,57857,1
413,26,0,1,NA,11,1,1,345,35,170,45,5,2,0,1,57857,4
414,26,0,1,NA,12,1,1,275,50,155,55,15,2,0,1,57857,4
416,26,0,1,NA,14,1,1,345,40,155,45,5,2,0,1,57857,4
418,27,1,0,2,NA,1,1,275,40,170,35,15,0,1,0,60373,4
419,27,0,1,NA,1,1,1,275,45,170,55,25,3,1,0,60373,4
420,27,0,1,NA,2,1,1,275,45,155,35,5,1,1,0,60373,1
421,27,0,1,NA,3,1,1,300,45,155,65,20,1,1,0,60373,4
422,27,0,1,NA,4,1,1,390,35,155,65,15,3,1,0,60373,4
423,27,0,1,NA,5,1,1,275,40,155,55,5,3,1,0,60373,1
424,27,0,1,NA,6,1,1,250,50,120,65,20,2,1,0,60373,1
425,27,0,1,NA,7,1,1,250,45,170,35,15,3,1,0,60373,1
426,27,0,1,NA,8,1,1,275,30,155,65,25,2,1,0,60373,1
427,27,0,1,NA,9,1,1,390,30,120,65,15,1,1,0,60373,4
428,27,0,1,NA,10,1,1,275,50,120,55,5,3,1,0,60373,4
429,27,0,1,NA,11,1,1,390,35,130,55,15,1,1,0,60373,1
430,27,0,1,NA,12,1,1,300,45,170,45,5,1,1,0,60373,4
431,27,0,1,NA,13,1,1,345,30,140,65,15,1,1,0,60373,1
465,30,1,0,1,NA,1,1,390,35,155,55,15,0,1,0,51858,1
468,30,0,1,NA,2,1,1,300,30,170,55,25,2,1,0,51858,1
469,30,0,1,NA,3,1,1,345,45,130,35,5,3,1,0,51858,4
470,30,0,1,NA,4,1,1,300,45,120,55,5,3,1,0,51858,4
471,30,0,1,NA,5,1,1,345,30,170,45,10,2,1,0,51858,1
472,30,0,1,NA,6,1,1,345,30,120,75,10,2,1,0,51858,1
473,30,0,1,NA,7,1,1,250,50,120,45,20,2,1,0,51858,4
474,30,0,1,NA,8,1,1,275,35,170,35,20,3,1,0,51858,1
475,30,0,1,NA,9,1,1,275,50,120,45,15,3,1,0,51858,1
476,30,0,1,NA,10,1,1,275,50,120,45,20,2,1,0,51858,4
477,30,0,1,NA,11,1,1,300,45,170,35,5,3,1,0,51858,4
478,30,0,1,NA,12,1,1,275,50,130,65,15,3,1,0,51858,1
479,30,0,1,NA,13,1,1,345,30,140,75,5,2,1,0,51858,4
481,31,1,0,1,NA,1,1,250,40,170,35,25,0,1,1,50941,1
482,31,1,0,2,NA,1,1,300,45,140,55,10,0,1,1,50941,1
483,31,0,1,NA,1,1,1,390,40,170,35,5,2,1,1,50941,4
484,31,0,1,NA,2,1,1,390,30,140,55,5,1,1,1,50941,4
485,31,0,1,NA,3,1,1,250,50,120,75,5,3,1,1,50941,4
486,31,0,1,NA,4,1,1,300,30,155,75,25,2,1,1,50941,4
487,31,0,1,NA,5,1,1,275,30,130,75,25,2,1,1,50941,1
488,31,0,1,NA,6,1,1,275,45,170,35,10,2,1,1,50941,4
489,31,0,1,NA,7,1,1,275,50,120,75,15,3,1,1,50941,4
490,31,0,1,NA,8,1,1,250,45,170,45,20,2,1,1,50941,1
491,31,0,1,NA,9,1,1,390,35,140,55,10,1,1,1,50941,4
492,31,0,1,NA,10,1,1,345,35,140,45,25,3,1,1,50941,4
493,31,0,1,NA,11,1,1,345,45,120,35,5,1,1,1,50941,4
494,31,0,1,NA,12,1,1,250,50,130,75,15,3,1,1,50941,4
495,31,0,1,NA,13,1,1,390,30,170,35,25,3,1,1,50941,4
496,31,0,1,NA,14,1,1,275,45,140,65,15,2,1,1,50941,1
497,32,1,0,1,NA,1,1,275,45,130,35,15,0,0,0,26155,4
499,32,0,1,NA,1,1,1,300,40,170,35,25,2,0,0,26155,4
500,32,0,1,NA,2,1,1,345,40,130,55,20,3,0,0,26155,1
501,32,0,1,NA,3,1,1,390,35,140,45,20,1,0,0,26155,4
502,32,0,1,NA,4,1,1,345,35,130,65,5,2,0,0,26155,1
503,32,0,1,NA,5,1,1,275,40,140,55,20,1,0,0,26155,1
504,32,0,1,NA,6,1,1,250,50,140,55,25,1,0,0,26155,1
506,32,0,1,NA,8,1,1,250,35,155,55,20,2,0,0,26155,1
507,32,0,1,NA,9,1,1,300,35,140,45,20,2,0,0,26155,1
508,32,0,1,NA,10,1,1,390,35,140,75,20,1,0,0,26155,1
509,32,0,1,NA,11,1,1,275,50,155,35,20,1,0,0,26155,4
510,32,0,1,NA,12,1,1,300,40,170,45,5,1,0,0,26155,4
511,32,0,1,NA,13,1,1,345,45,130,45,10,1,0,0,26155,4
512,32,0,1,NA,14,1,1,275,50,120,75,5,3,0,0,26155,1
513,33,1,0,1,NA,1,1,345,35,130,75,15,0,1,0,45590,1
516,33,0,1,NA,2,1,1,345,35,140,55,5,3,1,0,45590,4
517,33,0,1,NA,3,1,1,275,45,130,55,20,3,1,0,45590,1
521,33,0,1,NA,7,1,1,345,40,130,35,20,1,1,0,45590,4
522,33,0,1,NA,8,1,1,345,45,120,45,5,1,1,0,45590,4
523,33,0,1,NA,9,1,1,345,30,170,35,15,1,1,0,45590,4
525,33,0,1,NA,11,1,1,250,40,155,45,25,1,1,0,45590,1
526,33,0,1,NA,12,1,1,300,45,155,65,20,3,1,0,45590,1
529,34,1,0,1,NA,1,1,300,50,130,75,10,0,0,1,37323,4
530,34,1,0,2,NA,1,1,345,45,120,45,10,0,0,1,37323,4
531,34,0,1,NA,1,1,1,390,35,155,55,15,3,0,1,37323,4
532,34,0,1,NA,2,1,1,345,40,130,45,10,1,0,1,37323,4
533,34,0,1,NA,3,1,1,390,30,130,55,5,1,0,1,37323,4
534,34,0,1,NA,4,1,1,345,40,140,45,10,2,0,1,37323,4
535,34,0,1,NA,5,1,1,390,30,140,65,25,1,0,1,37323,4
536,34,0,1,NA,6,1,1,345,40,120,45,10,1,0,1,37323,4
537,34,0,1,NA,7,1,1,300,40,170,45,15,2,0,1,37323,4
538,34,0,1,NA,8,1,1,300,50,140,65,5,1,0,1,37323,4
539,34,0,1,NA,9,1,1,275,50,155,45,10,1,0,1,37323,4
540,34,0,1,NA,10,1,1,250,35,170,45,25,2,0,1,37323,1
541,34,0,1,NA,11,1,1,390,30,120,65,25,3,0,1,37323,4
542,34,0,1,NA,12,1,1,250,50,140,65,20,1,0,1,37323,1
543,34,0,1,NA,13,1,1,390,30,140,75,10,3,0,1,37323,4
544,34,0,1,NA,14,1,1,345,40,140,35,5,3,0,1,37323,4
547,35,0,1,NA,1,1,1,275,50,140,35,15,3,1,0,48824,1
548,35,0,1,NA,2,1,1,390,40,130,75,15,1,1,0,48824,1
549,35,0,1,NA,3,1,1,390,40,120,75,20,3,1,0,48824,4
550,35,0,1,NA,4,1,1,300,40,170,35,5,3,1,0,48824,4
551,35,0,1,NA,5,1,1,345,30,155,55,20,3,1,0,48824,1
553,35,0,1,NA,7,1,1,345,35,130,65,20,3,1,0,48824,1
555,35,0,1,NA,9,1,1,250,30,170,55,20,3,1,0,48824,1
556,35,0,1,NA,10,1,1,345,35,170,45,5,2,1,0,48824,4
558,35,0,1,NA,12,1,1,300,45,140,45,10,3,1,0,48824,4
559,35,0,1,NA,13,1,1,345,30,140,65,20,3,1,0,48824,4
560,35,0,1,NA,14,1,1,300,35,170,35,25,2,1,0,48824,1
577,37,1,0,1,NA,1,1,250,45,170,35,15,0,0,1,47727,4
578,37,1,0,2,NA,1,1,275,50,120,55,5,0,0,1,47727,1
579,37,0,1,NA,1,1,1,275,50,120,45,5,1,0,1,47727,4
580,37,0,1,NA,2,1,1,275,45,170,55,25,3,0,1,47727,4
581,37,0,1,NA,3,1,1,275,45,155,35,5,1,0,1,47727,4
582,37,0,1,NA,4,1,1,300,45,155,65,20,1,0,1,47727,1
583,37,0,1,NA,5,1,1,390,35,155,65,15,3,0,1,47727,1
584,37,0,1,NA,6,1,1,275,40,155,55,5,3,0,1,47727,4
585,37,0,1,NA,7,1,1,250,50,120,65,20,2,0,1,47727,1
586,37,0,1,NA,8,1,1,275,40,170,35,15,3,0,1,47727,4
587,37,0,1,NA,9,1,1,275,30,155,65,25,2,0,1,47727,4
588,37,0,1,NA,10,1,1,390,30,120,65,15,1,0,1,47727,1
589,37,0,1,NA,11,1,1,390,35,130,55,15,1,0,1,47727,4
590,37,0,1,NA,12,1,1,300,45,170,45,5,1,0,1,47727,1
591,37,0,1,NA,13,1,1,345,30,140,65,15,1,0,1,47727,4
592,37,0,1,NA,14,1,1,250,40,140,75,20,2,0,1,47727,1
593,38,1,0,1,NA,1,1,300,40,130,75,10,0,1,0,55826,1
594,38,1,0,2,NA,1,1,250,40,155,75,25,0,1,0,55826,4
596,38,0,1,NA,2,1,1,275,50,120,65,10,2,1,0,55826,4
597,38,0,1,NA,3,1,1,300,30,140,75,25,2,1,0,55826,1
598,38,0,1,NA,4,1,1,390,30,130,65,25,3,1,0,55826,4
599,38,0,1,NA,5,1,1,300,45,120,35,10,2,1,0,55826,4
600,38,0,1,NA,6,1,1,275,30,170,35,25,2,1,0,55826,4
601,38,0,1,NA,7,1,1,300,40,155,65,20,1,1,0,55826,1
602,38,0,1,NA,8,1,1,345,35,170,35,15,1,1,0,55826,1
603,38,0,1,NA,9,1,1,250,40,170,45,10,2,1,0,55826,4
604,38,0,1,NA,10,1,1,345,35,155,35,10,1,1,0,55826,4
605,38,0,1,NA,11,1,1,390,35,170,35,25,3,1,0,55826,4
606,38,0,1,NA,12,1,1,250,45,140,65,25,2,1,0,55826,1
607,38,0,1,NA,13,1,1,250,40,170,35,25,2,1,0,55826,4
609,39,1,0,1,NA,1,1,250,45,120,75,5,0,1,1,50675,4
610,39,1,0,2,NA,1,1,390,35,120,75,15,0,1,1,50675,4
611,39,0,1,NA,1,1,1,390,30,130,75,15,3,1,1,50675,4
612,39,0,1,NA,2,1,1,345,45,120,45,5,1,1,1,50675,4
613,39,0,1,NA,3,1,1,300,45,130,75,15,3,1,1,50675,4
614,39,0,1,NA,4,1,1,390,30,130,65,20,1,1,1,50675,4
615,39,0,1,NA,5,1,1,250,45,155,45,20,1,1,1,50675,4
616,39,0,1,NA,6,1,1,390,40,155,65,25,1,1,1,50675,4
617,39,0,1,NA,7,1,1,250,45,155,65,15,3,1,1,50675,4
618,39,0,1,NA,8,1,1,275,40,130,65,20,1,1,1,50675,1
619,39,0,1,NA,9,1,1,275,50,155,35,10,3,1,1,50675,1
620,39,0,1,NA,10,1,1,345,50,155,45,5,3,1,1,50675,1
621,39,0,1,NA,11,1,1,300,30,155,45,25,1,1,1,50675,1
622,39,0,1,NA,12,1,1,300,35,155,45,20,1,1,1,50675,4
623,39,0,1,NA,13,1,1,250,50,120,55,25,2,1,1,50675,4
624,39,0,1,NA,14,1,1,390,35,120,55,10,1,1,1,50675,4
625,40,1,0,1,NA,1,1,390,35,130,75,25,0,0,0,55461,1
626,40,1,0,2,NA,1,1,390,35,140,55,5,0,0,0,55461,1
627,40,0,1,NA,1,1,1,300,30,170,55,25,2,0,0,55461,1
628,40,0,1,NA,2,1,1,345,45,130,35,5,3,0,0,55461,4
630,40,0,1,NA,4,1,1,300,45,120,55,5,3,0,0,55461,4
631,40,0,1,NA,5,1,1,345,30,170,45,10,2,0,0,55461,1
632,40,0,1,NA,6,1,1,345,30,120,75,10,2,0,0,55461,4
633,40,0,1,NA,7,1,1,250,50,120,45,20,2,0,0,55461,4
634,40,0,1,NA,8,1,1,275,35,170,35,20,3,0,0,55461,4
635,40,0,1,NA,9,1,1,275,50,120,45,15,3,0,0,55461,4
636,40,0,1,NA,10,1,1,275,50,120,45,20,2,0,0,55461,4
637,40,0,1,NA,11,1,1,300,45,170,35,5,3,0,0,55461,4
638,40,0,1,NA,12,1,1,275,50,130,65,15,3,0,0,55461,1
639,40,0,1,NA,13,1,1,345,30,140,75,5,2,0,0,55461,1
640,40,0,1,NA,14,1,1,250,50,130,65,10,2,0,0,55461,4
657,42,1,0,1,NA,1,1,300,40,170,35,25,0,0,0,69128,1
658,42,1,0,2,NA,1,1,250,35,155,55,20,0,0,0,69128,1
659,42,0,1,NA,1,1,1,345,40,130,55,20,3,0,0,69128,4
660,42,0,1,NA,2,1,1,390,35,140,45,20,1,0,0,69128,4
661,42,0,1,NA,3,1,1,345,35,130,65,5,2,0,0,69128,4
662,42,0,1,NA,4,1,1,275,40,140,55,20,1,0,0,69128,1
663,42,0,1,NA,5,1,1,275,45,130,35,15,3,0,0,69128,4
664,42,0,1,NA,6,1,1,250,50,140,55,25,1,0,0,69128,4
665,42,0,1,NA,7,1,1,390,30,130,75,10,2,0,0,69128,1
666,42,0,1,NA,8,1,1,300,35,140,45,20,2,0,0,69128,4
667,42,0,1,NA,9,1,1,390,30,130,75,10,1,0,0,69128,4
668,42,0,1,NA,10,1,1,390,35,140,75,20,1,0,0,69128,1
669,42,0,1,NA,11,1,1,275,50,155,35,20,1,0,0,69128,4
670,42,0,1,NA,12,1,1,300,40,170,45,5,1,0,0,69128,4
671,42,0,1,NA,13,1,1,345,45,130,45,10,1,0,0,69128,4
672,42,0,1,NA,14,1,1,275,50,120,75,5,3,0,0,69128,4
675,43,0,1,NA,1,1,1,250,45,140,65,20,3,0,0,67962,4
677,43,0,1,NA,3,1,1,275,45,130,55,20,3,0,0,67962,4
678,43,0,1,NA,4,1,1,300,40,140,55,25,3,0,0,67962,4
681,43,0,1,NA,7,1,1,345,35,130,75,15,2,0,0,67962,4
682,43,0,1,NA,8,1,1,345,45,120,45,5,1,0,0,67962,4
